term	response	NKG7	Signature.21	Signature.8	CXCR6	T_inflam_GEP	CD399	TIGIT	Signature.10	Signature.6	Is_Male	CD274	IDO1	Signature.15	CD27	Signature.20	FIGIT	DDR	LAG3	CXCR9	HLA.E	STAT1	CCL5	Signature.7	CD8A	PSMB10	Signature.4	Signature.9	SERPINB3_SERPINB4	Indel_TMB	NMD_escape_TMB	CXCL9	TMB	Signature.1A	Clonal_TMB
CXCR9	-0.11489602480776524	-4.0519248308663327e-4	0.01331302361005839	-0.04835617089662859	0.005755003439283064	-0.04500684380553131	-0.034046125651752794	0.00351367173317736	-5.779217027748105e-4	0.0391652133622737	-0.030310108792979486	-0.04214125587592577	0.03331855916922218	-9.326995405710448e-5	-0.020683752488998532	-0.023333808353796368	0.016368444115063486	-0.08263877594870887	-0.015396398401878342	NA	-0.037113654886481266	-0.021460171165758678	-0.024712135925497855	0.00795139816857007	-0.040817493240627764	-0.042458812225019175	0.012953539574244525	-0.03174806914254609	-5.59875000082369e-4	0.07686714709309904	0.09336102624821861	-0.0518653715139401	0.009375409505296	0.03313495511606048	-4.3579364034477625e-4
LAG3	0.10827212922033007	0.7504676571893719	-0.01643276186532323	-0.04783768525997311	0.6066559355994757	0.31821730542842297	0.0016261431657177627	0.6403361787449089	0.02754059715802536	-0.0027864232733150578	0.014925322911266557	0.4587677564898256	0.4577642821904388	0.08491508345482997	0.56371737926386	-0.027785542459660754	0.08979888684546945	0.10431085805244984	NA	-0.015396398401878342	0.6391383653003123	0.6921789242010136	0.7396366002034178	0.037078552085999084	0.5238031765569043	0.5902810100809304	0.012897300751395573	-0.021563234677836333	0.049739413856326055	-0.003349324594677737	5.424063593088937e-4	0.5355110217750186	0.14579882587092344	-0.20955609323630403	0.15815827791094553
DDR	0.10738091627338568	0.0426284446534343	-0.047295045019696676	-0.023453946290699083	0.08380446308086402	0.05312243905527807	-0.07408847858144639	0.0842112377171422	0.015465919141437731	0.008728745031070358	0.06540368523694808	0.09951752135328959	0.07707776832286115	-0.018591648889698754	-0.008819546922102411	-0.00836410311018044	-0.0010877595258914532	NA	0.10431085805244984	-0.08263877594870887	0.15850125150023336	0.15694008791757494	0.13259610553096374	-0.030862478977087555	0.06888782022739094	0.14172243251775932	0.12180826398038569	-0.01208742239376938	0.06050665932870818	0.2577839123897167	0.1938595205631066	0.11186348273463939	0.26462062129414643	-0.11569831142203915	0.24764308725351605
FIGIT	-0.09941172771993213	0.10066331698900559	5.555715871653725e-4	-0.008631076179518533	0.0421359919071422	-0.011252859961374546	-0.02373510965385992	0.03839551224784068	-0.07626768228188655	-0.012451362400152743	-0.1014736145958167	0.03849266700865944	0.034494321350676295	-0.0588714387525479	0.076661769990607	-0.09101798154752926	NA	-0.0010877595258914532	0.08979888684546945	0.016368444115063486	0.012073273235886665	-0.003517364513993074	0.11270211054270698	0.05834685107463958	0.07198668374289749	0.004990406856833804	0.07043108527534002	-0.07713914335088953	0.02080406626751898	0.029829568107647846	0.011016195469218903	0.004821095270935192	0.015588449176515534	0.03495253381738429	0.020454108953591267
Signature.20	0.09870533441153433	-0.01275274151020623	-0.0126667842352305	-0.005874431455441007	-0.016194737942861345	-0.029992810896140202	0.08670929509684878	-0.016965281049187424	-0.022074220100790867	0.01587017655332584	0.03944157417454251	-0.0031527860905550243	-0.03059233069552591	-0.01524442882477752	-0.009637904423241733	NA	-0.09101798154752926	-0.00836410311018044	-0.027785542459660754	-0.023333808353796368	-0.03722241241317743	-0.03194748454593948	-0.02359867642862821	-0.051141346037167246	0.016725572705892554	-0.030946844460068495	0.004359310690102999	0.7418468274076292	-0.015220084117651004	-0.02889339897901584	-0.029923649705140175	0.021916329540743875	-0.038865227645554175	-0.03698009827289124	-0.034919104743584006
CD27	0.09800821524185854	0.6492587565234114	-0.0013628495232044647	-0.03386247133226532	0.5627005743337572	0.29303895734431135	0.00453323152040845	0.800423918492398	0.00848476690144957	-0.014217499740915898	0.008099441956993435	0.32407838907247166	0.3446868243611916	0.0058475743193717395	NA	-0.009637904423241733	0.076661769990607	-0.008819546922102411	0.56371737926386	-0.020683752488998532	0.5691731203137946	0.45974574381412536	0.5346313496955245	0.025908902801047486	0.5567479409652533	0.5433033608445336	0.01990474191192268	-0.0019343437252629027	-0.06091959712005448	-0.10367485329533235	-0.0895101308358831	0.43054252755199196	-0.05215019463680451	-0.14652306300061457	-0.03313882299365142
Signature.15	-0.09575009244006122	0.07582440364341889	-0.009718026818674839	0.028729076385161943	0.005011458126817283	-0.03443296841544709	-0.0643108024293063	-0.013012485978917018	-0.020100848283089976	0.13112171719598342	-0.004730418264282439	0.07764192457121225	-0.04542242287539682	NA	0.0058475743193717395	-0.01524442882477752	-0.0588714387525479	-0.018591648889698754	0.08491508345482997	-9.326995405710448e-5	-0.023019027302128858	-0.03183301740656308	0.007365541811352318	-0.16705452826685135	0.04640534273322461	-0.08170867744387039	-0.025290813696554212	0.0058497951324404576	-0.046699208393932615	-0.02404530880035229	-0.024986625031306452	0.0025362468284568277	-0.06913707026978916	0.017872008062039514	-0.07578257478755905
IDO1	0.09500270045185756	0.3874541381103778	0.0021071090762165537	0.02109980838124526	0.3536334386325191	0.30396200579232624	0.002863008013554062	0.4277510862298056	-0.029392562055766635	-0.00833762478790679	-0.007415909541311421	0.26572716026985893	NA	-0.04542242287539682	0.3446868243611916	-0.03059233069552591	0.034494321350676295	0.07707776832286115	0.4577642821904388	0.03331855916922218	0.4965668591727268	0.5453531385897445	0.40740718559030215	0.03120814259098931	0.32264016959445735	0.4577931116331784	-0.02317129889080961	-0.03968904295137463	-0.05330517506705785	-0.011246364743197158	-0.006274318088496485	0.41954690216802276	0.06682614654057223	-0.10396544083426557	0.06882218794568089
CD274	0.09394631374069876	0.4212547859956327	-0.005474804301869874	-0.03925032547792694	0.3660421722786916	0.3300079557114496	-0.016406917626208974	0.4000828228525264	0.010606739964038806	-0.06370850850042557	0.012322981442806386	NA	0.26572716026985893	0.07764192457121225	0.32407838907247166	-0.0031527860905550243	0.03849266700865944	0.09951752135328959	0.4587677564898256	-0.04214125587592577	0.29414311602927284	0.3996024065207856	0.35722940078849347	0.03604810935122909	0.5411506372053126	0.3175710059071557	-0.05410751498451021	0.04145182174158078	-0.04599291366594909	-0.03966520433192458	-0.016677812222104547	0.5248441258148334	0.04813275888339659	-0.13365201272725202	0.07073300214074482
Is_Male	0.09121787013263885	0.011252260093203006	-0.08866506751105926	-0.07701510115759509	0.039252470723067215	0.0618588173340217	0.024383309868187233	0.02419470420039888	0.07837514963670715	0.020551832862826466	NA	0.012322981442806386	-0.007415909541311421	-0.004730418264282439	0.008099441956993435	0.03944157417454251	-0.1014736145958167	0.06540368523694808	0.014925322911266557	-0.030310108792979486	0.06378254229875278	0.020361374563089896	0.022314688239839547	0.01532817844940571	-0.008278599331686716	0.052510358963850125	-0.1109573714175848	0.019481889853926085	0.0556635102187322	0.04509416898664521	0.012893576467500773	0.03495070204909757	0.10265258433460353	-0.07629024624285903	0.1215761132133753
